wav_filename,wav_filesize,transcript
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400364(033).wav,317292,met acht kinderen ze heeft waarschijnlijk wel haar werk ja
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400192(045).wav,266924,nu da 's wel goed dan dat ze ook na naar die alternatieve zaken op zoek zijn
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400516(044).wav,313004,en hij werkt nu ook azo in een mex mexicaans restaurant azo parttime h
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400397(106).wav,829612,maar er zitten wel veel dialogen in en merkwaardig is bij elsschot dus dat ie ook in die tijd dus 't dateert van de jaren dertig dat ie toch uh bijna uitsluitend de je- en jijvorm gebruikt h
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400744(044).wav,501100,naar uw kamer enfin ge moet een beetje van kleding veranderen andere schoenen aan en dan vertrek je
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400705(029).wav,378668,stoefer ja maar dat moogt de niet zeggen h ja
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400288(038).wav,324140,moet dat morgen weer indienen voor de punten van 't derde en 't vierde jaar natuurlijk
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400235(088).wav,331756,maar geen luik draai 'ns terug
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400723(102).wav,293932,waarom niet omdat ge misschien pas binnen tien minuten in slaap valt misschien pas binnen een kwartier
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400396(008).wav,283436,dus uh een cd-speler uiteraard mijn computer hebben ze gelukkig laten staan
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400482(007).wav,288236,maar zegt ie wacht ik ga dat probleem hier oplossen
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400467(006).wav,262572,nu kom 'k gaan 'k ik van de standaard boekhandel naar fnac
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400229(039).wav,297644,dus leo zouden we dat kunnen geven leo de laet maar die gaan we die speech laten doen
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400315(015).wav,410284,en en dieje vader heeft toen een een tussen-uh-oplossing bereikt met diejen deurwaarder
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400190(114).wav,269100,en dan keken we naar uh onze zondagavond televisieavond h
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400297(108).wav,548844,'k weet niet of het nog eigenlijk echt sympathiek bij de mensen overkomt h door het feit dat allee de tendens is tegenwoordig om eigenlijk langer te werken h
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400642(110).wav,473708,ja hm hm
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400190(103).wav,312876,mmm ja
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400611(033).wav,256364,dus open beenbreuk en die knie helemaal naa naar de vaantjes en uh
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400091(089).wav,311852,kom gewoon naar thuis en dan uhm ja gaan we hier gewoon gezellig zitten
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400249(023).wav,356140,bij de oppositie heb ik uh johan blondeel aangesproken samen
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400533(058).wav,282412,uh nee ik zie ik zie mij niet vlug naar cuba gaan om allerlei redenen
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400311(063).wav,345264,dan doet dat een beetje denken aan de negentiende eeuw h zo van ze doen goede werken in hun
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400476(032).wav,444908,of twaalf- of dertienjarigen in 't binnenland en dan vanaf volgend jaar geloof ik dat ze ja ook buitenland kunnen doen ja
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400083(090).wav,393900,uh hij heeft het gezegd van half tien tot tien of tot half elf of zo
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400297(045).wav,266924,en ook omdat het heel vroeg in september valt h
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400773(083).wav,339116,mmm wacht ik heb dat opgezocht laak was maasmechelen geloof ik
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400799(005).wav,258092,maar 't was wel typisch voor uh dat dorpke
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400767(001).wav,350060,ja als ik door ben en als ze me laten gaan ik heb uh gisteren m'n inschrijvingsformulier gaan halen
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400436(005).wav,384364,en dit jaar gaan we op 't eind van 't jaar naar de vernieuwde uhm museum van de kathedraal zien
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400778(090).wav,273068,en ze hebben nu in 't begin van 't tweede semester nog iets van van vijftig euro over
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400322(008).wav,529004,ja vorig jaar zijn wij uitstekend gestart en stonden wij na de eerste ronde op een tweede plaats op drie punten dus n overwinning minder dan de leider
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400068(191).wav,490284,maar uhm als ge heel oud wordt gaat gaat gaat de dat ooit moeten vervangen dat hout
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400254(143).wav,284012,uh want ik heb nog een tijdje dat systeem volgehouden alleen al voor 't zicht
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400183(202).wav,298796,ja en 't tweede punt en uh barbara is was haar uh
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400188(026).wav,352236,ben ik nog een beetje slechtgezind van gisteren eigenlijk 'k ben er nog niet zo over
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400537(017).wav,358124,dus bijvoorbeeld van het schaken dus men start met een beginpositie
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400767(039).wav,419820,dus maar dat maakte ook echt uit waar kleiner of gelijk aan waar die of gelijk aan stond dat maakte ook echt uit
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400802(035).wav,334828,hij stond daar want dat is toch tamelijk ver dat hij in de vlakte stond h
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400299(028).wav,564204,nog iemand die 'k ken ne leraar met ons die moest nu ook maar die moet ze alle vier en dan zei den dokter als ge ze alle vier moet doen doe 'k u heel in slaap
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400769(043).wav,409132,honderd procent zeker van honderd procent zeker van daar heb ik het met haar eigenlijk ook al over gehad
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400437(061).wav,277484,die bibliotheek is veel rijker dan bijvoorbeeld in handschriften dan die van leuven
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400490(133).wav,334828,woensdag den tiende juli uhu schat ik
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400234(060).wav,570284,dus da 's niet goed d'r was ook nog plaats als ik me niet vergis om acht uur tijdens sommige weekdagen
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400506(015).wav,295084,en nu wordt het groter heel groot megagroot
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400071(001).wav,604844,te druk met ons kinderen zij zegt dat pa niet meewil omdat het te ver is en hij zegt dat ma dat niet meer graag doet zo ver
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400190(102).wav,463852,mmm ah ik dacht dat ge dan ne vol ne nieuwen auto moest kopen als ge een omniumverzekering hadt
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400255(129).wav,269612,want op een zeker moment stond hij zelfs op de linkerkant en ik zei toen
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400336(043).wav,282156,en ik dacht dus ze is doorgedrongen richting finale
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400314(028).wav,362668,maar ja ze zijn d'r ook al jaren aan bezig om om iets fatsoenlijk van die weg te maken maar ze krijgen d'r ook geen oplossing aan h
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400323(042).wav,268204,zeker nu ze onlangs met die aanvallen op afghanistan zijn gestart
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400759(045).wav,339500,ja en dat was echt ja vijf dagen tot en met uh vrijdagavond zes uur
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400291(080).wav,536044,nee ja da 's ja biologisch of niet dat zou nog wel 'ns een probleem kunnen zijn tegen vrijdag
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400306(093).wav,457516,wat ik wel veel heb gehoord dat is heel veel problemen om de gasten nog hun hun huistaken te laten maken h
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400063(337).wav,292332,'t is toch waar en dan frank en z'n lief d'r ook zijn
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400498(002).wav,401324,en afhankelijk van wat dat zij kiezen maar wat ook van wat de andere kiest krijgen ze een bepaalde opbrengst
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400397(109).wav,410348,neem nu de eerste zin van het stuk is ge peist zeker dat 'k voor heel 't leger patatten ga schillen
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400737(063).wav,579500,uh pff globaal gezien wel natuurlijk maar op twee maanden na laten we zeggen voor een klein rusthuis kunnen ze dat niet zeggen dan zal er een bed vrijkomen
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400282(035).wav,441708,nee had die z'n camera bij 'k dacht van niet
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400436(012).wav,320684,en dan walburga de jezuetenkerk anders kan je die maar ne keer zien zo
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400608(042).wav,639916,ik heb dat zelfs uhm met mensen waar ik normaal dialect mee praat als ik daarmee bel praten die automatisch an h
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400067(052).wav,363116,want anders dan geraken we hier nooit mee klaar en ik moet nog naar de slager
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400338(001).wav,297388,ik heb het nog graag zoals het nu is dat ieder land zijn eigen competitie heeft
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400251(077).wav,336748,want ondertussen was dat tien voor drie waar het eigenlijk moest beginnen om half drie
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400605(051).wav,674796,uh aso tso en uh 't zevende jaar is is alleen beroeps h
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400497(015).wav,285932,'k had vandaag een berichtje verstuurd omdat mijn mama ging eerst naar daar gaan
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400525(029).wav,398892,maar dien zegt nu opeens stop ik wil dat niet meer doen h omdat 'k al zoveel moet geven aan die moeder van bn
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400189(060).wav,469420,oh dat moet niet tof zijn en dat zijn alleen maar z zo een patinten
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400283(073).wav,309996,'k weet wel niet of dat mama en papa dat kennen de hoge venen
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400505(080).wav,267564,maar dat i toch lijk ah ja zo van dat lijk zoiets
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400753(045).wav,431020,lijk de waar dat we sliepen die mensen waren heel vriendelijk we kwamen daar elke avond doodmoe rond kwart voor elf aan
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400426(001).wav,323180,als 't zal spannend zijn diejen avond h
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400606(003).wav,578028,en uh ik vind dat dat eigenlijk saboteren is van 't werk van de leraar nederlands en ik heb het daar heel moeilijk mee
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400535(195).wav,421036,en daarnaast sociaal leven de familie en zo terwijl nu inderdaad zijn d'r dingen waar ik veel meer tijd voor neem
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400768(077).wav,280044,ja dat weet ik niet 'k zeg ja en dat wist claudio wel van hanne voordat die dat wist
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400524(070).wav,302380,ja bwa nu zie 'k het wel beter zitten voor uh biosfeer water
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400066(036).wav,319212,die is toch nog niet te geloven h nee
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400629(125).wav,586412,binnen de germanisten is er blijkbaar nogal wat overeenstemming dat je eigenlijk echt wel zo een een heel bovengewestelijke standaard nodig hebt
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400237(067).wav,506668,of zo allee 'k zou graag nog 'ns echt een goei boek le maar ik heb nog maar juist n uit
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400185(060).wav,271340,en die weet niet goed hoe dat hij moet die statistieken verwerken
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400704(004).wav,309548,'k dacht 'k zal d'r 'ns invliegen en dan morgen nog een beetje en dan
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400771(022).wav,280044,op dit moment is 't gewoon van ja als gij dat doet dan ga 'k met jelle vrijen
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400181(112).wav,263788,anders moet de dieje l laatste vrijdag van de krokusvakantie nog verlof pakken
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400526(024).wav,401772,dat is uh vooraleer dat uh bijvoorbeeld we men weet dat de grond vervuild is met die of die stoffen
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400655(036).wav,523756,dus daar waar dat bram woont dat is nogal hellend en hij stond de laatste in de rij van de auto's
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400096(524).wav,318060,en uhm ellen die heeft nen tijd in 't ziekenhuis gelegen 't schijnt
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400098(343).wav,380332,dan is 't toch denk ik wel gert alleen zuh allee gert naar huis is wel heel handig of zo maar
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400395(120).wav,415340,ja omdat ze zeggen ja dat het zo zo uh oervlaams is
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400638(054).wav,331564,wat ook opvallend is de benedenverdieping die wordt tot en met uitgebaat h
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400766(022).wav,527276,waarbij n wordt twee twee wordt n drie wordt vier en vier wordt drie
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400467(108).wav,327916,ge zegt dat 't gewoon dat 't een kunstwerk is en dan hebt de geen bouwvergunning nodig h
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400488(015).wav,387244,en uhm ja hij w w 't wa 't was drie maanden aan of zo
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400514(089).wav,562796,en martine zit zo'n beetje naast mij te lachen en 'k begreep dat niet goed waarom en uh uh 't laatste uitsr uittreksel komt eruit gerold plus dertigduizend
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400526(050).wav,375596,en uhm en be ja 'k heb daar dan bij gezegd dus dat niet altijd tot belangenvermenging leidt
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400215(130).wav,753644,en 't mag illegaal zijn als 't maar geld opbrengt maar allee de staat moogt de oplichten maar ja dat vindt iederen belg bijna h
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400501(100).wav,365484,of niet maar ja ah ja ge kunt dat toch dubbelzinnig interpreteren h die vraag
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400184(106).wav,299372,ja zeg en uh weet de al iets over die conferentie in bonn
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400382(155).wav,617644,letterkundig li-terair en dees is toch
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400625(109).wav,547180,misschien zou dat nog nog komen hoor maar trouwens allee ik denk dat 't tijd genoeg moet zijn om iets te schrijven dus 't onderzoek is ongeveer afgerond
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400181(148).wav,303980,dus tussen de vijftiende augustus en de vijftiende juli hebben we verlof h ja
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400489(022).wav,267880,'t zesde was al minder 't vijfde en 't zesde zijn mijn prachtigste jaren geweest gewoon
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400077(120).wav,750060,en de bel ging om vier uur en uhm ze ze zei van ja en nu gaan w gaan jullie allemaal uh naast je bank staan en uh drie weesgegroeten bidden ter vergeving
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400532(035).wav,277804,en dan is 't ook zo dat er op 't sommige plaatsen staat double en triple
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400415(021).wav,301868,dus we gaan toch maar uitstellen tot we doen het op school
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400683(042).wav,316140,uh ik ga ook in een gouden lijstje dit d'rachter hangen
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400076(145).wav,288492,scoutsleiding op dit moment in aalst is ook verschrikkelijk slecht
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400425(159).wav,273708,ja da 's wel waar bedanking van oud-leiding
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400640(086).wav,977388,en uhm en uw kosten uw factuur zult de gij moeten op op hu hun verz allee moe moet de gij aan hen geven en zij zullen dan de dingen dus hun verzekering zal dan wel eventueel op ons verhalen als 't nodig is
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400798(019).wav,706028,uh nummerke eenentwintig is edit en edit is de wistoets en die staat 'k heb 't ondertussen al gevonden hier onderaan
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400186(114).wav,351276,en door de kou voelen ze dat niet door den drank voelen ze dat niet en dan vriezen ze eigenlijk dood
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400535(199).wav,363948,aangezien mijn zoon moet gaan werken sta ik uh vroeg op uhm om met hem te ontbijten
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400183(098).wav,373036,maar zoudt de dat dan niet beter 'tgeen dat ge nog overhebt niet in de niet in 't groot verlof pakken
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400077(038).wav,389612,ja er zijn ook franstalige leerlingen die dan in het nederlandstalig onderwijs zitten
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400093(044).wav,570220,lien en marieke hebben alle twee gevraagd of we die wouden opnemen omwille van 't feit dat lien die had al ik weet niet hoelang zitten zoeken daarachter en die vond die nergens
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400200(048).wav,256684,vorig jaar had ik al zoiets van ah ik heb geen zin meer ja
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400679(123).wav,503532,en nietzsche heeft dat dan trouwens ook uh nog een beetje verder uitgewerkt dus ik ga verwijzen naar die filosofen en ik ga een beetje verwijzen naar dat
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400463(094).wav,396524,dan hebben ze gezegd d waar dat we een kleine binding mee hebben maar ook niet veel da 's het fins
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400530(011).wav,386028,'s nachts om vier uur moesten ze naar zaventem omdat ze daar die groepjes moesten afleveren die moest vertrekken h
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400086(027).wav,461356,nu ook wel interessant de de bar bijvoorbeeld was groot uhm wel maar aan ene kant
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400196(001).wav,619564,'t eerste jaar kregen we dan deed 'k nog niet mee met de organisatie uhm gewoon een een bekend personage dat we moesten uitbeelden
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400775(009).wav,309036,als ze niet in irak zelf geraakte dus dan in de vluchtelingenkampen juist over de grens
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400747(037).wav,494124,dus uh ze begrijpt echt niks van frans en uh toen we daar binnenkwamen in de hare krishna toen zat marjon al op haar paard want ze was zo kwaad
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400452(092).wav,390188,maar ja ik vind uiteindelijk als je hier ja als je hier nen hele dag zit heb ik snel al een liter water gedronken
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400093(139).wav,516648,oh dan kennen ze de weg al en pieter heeft z'n vrijdag dan zijn eerste verjaardagsfuifje
S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-a\vl\fv400610(002).wav,500588,en uhm ik ik z ik zag het zo h klaagde en en hij hij hij deed het niet en hij maakte d'r kloeg van
